,id,inning,over,ball,batsman,non_striker,bowler,batsman_runs,extra_runs,total_runs,non_boundary,is_wicket,dismissal_kind,player_dismissed,fielder,extras_type,batting_team,bowling_team
72130,548364,1,8,2,Y Venugopal Rao,Y Nagar,RA Jadeja,1,0,1,0,0,,,,,Delhi Daredevils,Chennai Super Kings
108214,734045,1,14,2,LMP Simmons,RG Sharma,RA Jadeja,1,0,1,0,0,,,,,Mumbai Indians,Chennai Super Kings
148748,1082643,1,15,6,JP Faulkner,RA Jadeja,Rashid Khan,1,0,1,0,0,,,,,Gujarat Lions,Sunrisers Hyderabad
69771,548354,2,16,2,Gurkeerat Singh,AM Nayar,J Botha,4,0,4,0,0,,,,,Kings XI Punjab,Rajasthan Royals
130626,980969,2,8,2,V Kohli,KL Rahul,A Zampa,4,0,4,0,0,,,,,Royal Challengers Bangalore,Rising Pune Supergiants
147716,1082639,2,9,1,G Gambhir,CA Lynn,R Tewatia,1,0,1,0,0,,,,,Kolkata Knight Riders,Kings XI Punjab
92420,598064,2,0,3,Mandeep Singh,SE Marsh,R Rampaul,0,0,0,0,0,,,,,Kings XI Punjab,Royal Challengers Bangalore
121873,829819,2,15,2,DJ Hooda,CH Morris,MA Starc,2,0,2,0,0,,,,,Rajasthan Royals,Royal Challengers Bangalore
170185,1178398,2,11,5,F du Plessis,AT Rayudu,SP Narine,1,0,1,0,0,,,,,Chennai Super Kings,Kolkata Knight Riders
178370,1181766,2,17,5,RR Pant,SE Rutherford,Basil Thampi,1,0,1,0,0,,,,,Delhi Capitals,Sunrisers Hyderabad
10921,336029,1,3,5,V Kohli,SP Goswami,MS Gony,1,0,1,0,0,,,,,Royal Challengers Bangalore,Chennai Super Kings
91989,598063,2,10,1,DH Yagnik,STR Binny,Harbhajan Singh,1,0,1,0,0,,,,,Rajasthan Royals,Mumbai Indians
18929,392206,1,0,3,M Vijay,ML Hayden,DP Nannes,1,0,1,0,0,,,,,Chennai Super Kings,Delhi Daredevils
19480,392208,2,8,6,RV Uthappa,JH Kallis,AM Nayar,1,0,1,0,0,,,,,Royal Challengers Bangalore,Mumbai Indians
83234,598026,2,13,5,MEK Hussey,MS Dhoni,STR Binny,4,0,4,0,0,,,,,Chennai Super Kings,Rajasthan Royals
70300,548356,2,8,5,TM Dilshan,CH Gayle,A Ashish Reddy,0,0,0,0,0,,,,,Royal Challengers Bangalore,Deccan Chargers
189072,1216533,1,4,6,AT Rayudu,SM Curran,BA Stokes,4,0,4,0,0,,,,,Chennai Super Kings,Rajasthan Royals
50520,501236,1,13,1,MS Dhoni,SK Raina,PP Ojha,1,0,1,0,0,,,,,Chennai Super Kings,Deccan Chargers
17619,392201,2,6,5,G Gambhir,TM Dilshan,Shoaib Ahmed,0,0,0,0,1,lbw,G Gambhir,,,Delhi Daredevils,Deccan Chargers
167115,1175366,1,17,5,YK Pathan,DA Warner,Mohammed Siraj,2,0,2,0,0,,,,,Sunrisers Hyderabad,Royal Challengers Bangalore
143946,1082623,1,4,6,DA Warner,S Dhawan,AR Patel,0,0,0,0,0,,,,,Sunrisers Hyderabad,Kings XI Punjab
148540,1082642,1,9,3,MN Samuels,KK Nair,Washington Sundar,1,0,1,0,0,,,,,Delhi Daredevils,Rising Pune Supergiant
22317,392220,1,7,4,A Symonds,RG Sharma,RA Jadeja,0,0,0,0,0,,,,,Deccan Chargers,Rajasthan Royals
138779,1082600,1,15,8,BCJ Cutting,NV Ojha,HH Pandya,1,0,1,0,0,,,,,Sunrisers Hyderabad,Mumbai Indians
54808,501254,2,15,2,Mandeep Singh,DJ Hussey,RA Jadeja,1,0,1,0,0,,,,,Kings XI Punjab,Kochi Tuskers Kerala
11216,336031,1,11,4,RG Sharma,AC Gilchrist,Gagandeep Singh,1,0,1,0,0,,,,,Deccan Chargers,Kings XI Punjab
122797,980903,1,10,7,CH Morris,SV Samson,PP Chawla,1,0,1,0,0,,,,,Delhi Daredevils,Kolkata Knight Riders
53332,501248,1,9,2,KD Karthik,SE Marsh,AA Jhunjhunwala,1,0,1,0,0,,,,,Kings XI Punjab,Pune Warriors
119690,829799,2,10,5,GJ Bailey,DA Miller,MC Henriques,0,0,0,0,0,,,,,Kings XI Punjab,Sunrisers Hyderabad
111817,829729,1,18,5,AT Rayudu,KA Pollard,MM Sharma,6,0,6,0,0,,,,,Mumbai Indians,Chennai Super Kings
83296,598026,2,10,4,MEK Hussey,SK Raina,KK Cooper,4,0,4,0,0,,,,,Chennai Super Kings,Rajasthan Royals
22919,392223,1,0,1,G Gambhir,DA Warner,RP Singh,0,0,0,0,0,,,,,Delhi Daredevils,Deccan Chargers
130141,980965,2,8,6,SS Tiwary,AM Rahane,A Mishra,0,0,0,0,0,,,,,Rising Pune Supergiants,Delhi Daredevils
81922,598021,1,12,5,PP Chawla,DJ Hussey,NLTC Perera,0,0,0,0,0,,,,,Kings XI Punjab,Sunrisers Hyderabad
159187,1136598,1,5,6,JC Buttler,SV Samson,AR Patel,1,0,1,0,0,,,,,Rajasthan Royals,Kings XI Punjab
71496,548361,2,10,2,MEK Hussey,DJ Bravo,J Botha,1,0,1,0,0,,,,,Chennai Super Kings,Rajasthan Royals
149353,1082646,1,8,5,CH Gayle,V Kohli,CJ Anderson,1,0,1,0,0,,,,,Royal Challengers Bangalore,Delhi Daredevils
88361,598048,2,6,3,AB de Villiers,V Kohli,I Sharma,1,0,1,0,0,,,,,Royal Challengers Bangalore,Sunrisers Hyderabad
62504,548322,2,14,5,JD Ryder,SPD Smith,R Ashwin,2,0,2,0,0,,,,,Pune Warriors,Chennai Super Kings
64853,548332,1,10,5,OA Shah,AL Menaria,R Ashwin,1,0,1,0,0,,,,,Rajasthan Royals,Chennai Super Kings
38198,419151,1,16,3,A Symonds,RG Sharma,DW Steyn,0,1,1,0,0,,,,wides,Deccan Chargers,Royal Challengers Bangalore
105559,734023,2,11,2,MK Pandey,RV Uthappa,RA Jadeja,0,0,0,0,0,,,,,Kolkata Knight Riders,Chennai Super Kings
61019,548316,2,3,1,NV Ojha,V Sehwag,R Ashwin,0,0,0,0,0,,,,,Delhi Daredevils,Chennai Super Kings
20998,392215,2,2,6,DA Warner,G Gambhir,SL Malinga,1,0,1,0,0,,,,,Delhi Daredevils,Mumbai Indians
154967,1136580,1,17,1,MS Dhoni,SK Raina,Rashid Khan,0,0,0,0,0,,,,,Chennai Super Kings,Sunrisers Hyderabad
71197,548360,1,13,6,AT Rayudu,KD Karthik,HV Patel,0,0,0,0,1,caught,AT Rayudu,M Muralitharan,,Mumbai Indians,Royal Challengers Bangalore
136694,1082591,2,0,6,Mandeep Singh,CH Gayle,A Nehra,4,0,4,0,0,,,,,Royal Challengers Bangalore,Sunrisers Hyderabad
123225,980907,2,9,4,NV Ojha,MC Henriques,YS Chahal,0,0,0,0,1,caught,NV Ojha,AB de Villiers,,Sunrisers Hyderabad,Royal Challengers Bangalore
41832,501199,1,7,6,JP Duminy,IR Jaggi,SK Trivedi,1,0,1,0,0,,,,,Deccan Chargers,Rajasthan Royals
42959,501203,2,12,2,JP Duminy,B Chipli,Iqbal Abdulla,0,0,0,0,1,caught,JP Duminy,JH Kallis,,Deccan Chargers,Kolkata Knight Riders
157514,1136590,2,19,8,V Shankar,R Tewatia,L Ngidi,1,0,1,0,0,,,,,Delhi Daredevils,Chennai Super Kings
15712,392192,1,15,5,Y Venugopal Rao,DB Ravi Teja,Z Khan,0,0,0,0,0,,,,,Deccan Chargers,Mumbai Indians
125976,980931,2,10,2,AM Rahane,MS Dhoni,T Shamsi,1,0,1,0,0,,,,,Rising Pune Supergiants,Royal Challengers Bangalore
114527,829751,1,15,3,KA Pollard,AT Rayudu,DW Steyn,2,0,2,0,0,,,,,Mumbai Indians,Sunrisers Hyderabad
22845,392222,1,13,2,K Goel,LA Pomersbach,JP Duminy,1,0,1,0,0,,,,,Kings XI Punjab,Mumbai Indians
171236,1178403,2,18,6,AB de Villiers,MP Stoinis,Mohammed Shami,6,0,6,0,0,,,,,Royal Challengers Bangalore,Kings XI Punjab
77499,598002,1,15,6,KA Pollard,Harbhajan Singh,R Ashwin,0,0,0,0,0,,,,,Mumbai Indians,Chennai Super Kings
112528,829735,1,18,6,DJ Bravo,MS Dhoni,JP Faulkner,3,0,3,0,0,,,,,Chennai Super Kings,Rajasthan Royals
151301,1136564,2,5,3,KS Williamson,S Dhawan,B Laughlin,1,0,1,0,0,,,,,Sunrisers Hyderabad,Rajasthan Royals
109776,829711,2,13,1,DA Warner,RS Bopara,R Ashwin,0,0,0,0,0,,,,,Sunrisers Hyderabad,Chennai Super Kings
33619,419132,2,2,5,S Dhawan,SR Tendulkar,IK Pathan,2,0,2,0,0,,,,,Mumbai Indians,Kings XI Punjab
1104,335986,2,13,5,DJ Hussey,Mohammad Hafeez,A Symonds,1,0,1,0,0,,,,,Kolkata Knight Riders,Deccan Chargers
165980,1175361,2,12,3,MA Agarwal,DA Miller,PP Chawla,0,1,1,0,0,,,,legbyes,Kings XI Punjab,Kolkata Knight Riders
182656,1216507,1,9,1,MK Pandey,DA Warner,R Tewatia,1,0,1,0,0,,,,,Sunrisers Hyderabad,Rajasthan Royals
